Date,Open,High,Low,Close,Adj Close,Volume
2018-11-27,20.0375,21.102501,19.8962,21.0963,20.979627999999998,11514400.0
2018-11-28,20.875,21.6688,20.7537,21.2563,21.138742,15602400.0
2018-11-29,20.8125,21.4375,20.377501000000002,21.405001000000002,21.286619,13967200.0
2018-11-30,21.1863,21.375,20.5625,20.5788,20.464989000000003,14056800.0
2018-12-03,21.0,21.040001,20.077499,20.2663,20.154217000000003,9081600.0
2018-12-04,20.3825,20.9862,20.084999,20.6,20.486073,13332800.0
2018-12-05,20.5987,20.8062,20.4375,20.6138,20.499796,3836000.0
2018-12-06,20.3125,20.7812,20.1938,20.6663,20.552004,5756800.0
2018-12-07,20.565001000000002,20.9,20.3762,20.5438,20.430183,6428800.0
2018-12-10,20.5438,20.7213,20.049999,20.0662,19.955225,5544800.0
2018-12-11,20.375,20.571301000000002,20.112499,20.5487,20.435055,5144000.0
2018-12-12,20.6,21.025,20.6,21.0,20.883860000000002,6977600.0
2018-12-13,21.0175,21.202499,20.907498999999998,20.9375,20.821704999999998,4767200.0
2018-12-14,21.084999,21.5625,20.9688,21.325001,21.207062,8799200.0
2018-12-17,21.325001,21.5,21.1875,21.258801000000002,21.14123,6956000.0
2018-12-18,21.3375,21.9937,21.2125,21.987499,21.865898,7894400.0
2018-12-19,22.0187,22.575001,22.0187,22.1262,22.003829999999997,8070400.0
2018-12-20,22.3125,22.5,21.6262,22.2425,22.119488,8156800.0
2018-12-21,22.112499,22.844998999999998,22.0012,22.844998999999998,22.718655,9687200.0
2018-12-26,22.75,22.7575,22.0625,22.094998999999998,21.972803,6412000.0
2018-12-27,22.1875,22.4,21.6875,21.75,21.629711,5149600.0
2018-12-28,22.0063,22.633801000000002,22.0063,22.633801000000002,22.508623,6636000.0
2019-01-02,22.5525,23.2488,22.3787,23.2488,23.196151999999998,6754400.0
2019-01-03,23.1238,23.1863,22.42,23.0,22.947916,6585600.0
2019-01-04,23.0063,23.0438,22.2938,22.299999,22.2495,6930400.0
2019-01-07,22.25,22.809998999999998,22.1588,22.6462,22.594917000000002,5293600.0
2019-01-08,22.6938,22.8113,22.375,22.4638,22.41293,4849600.0
2019-01-09,22.625,22.75,22.2188,22.3888,22.338099,6199200.0
2019-01-10,22.3762,22.637501,22.225,22.6063,22.555107,6108000.0
2019-01-11,22.625,22.692498999999998,22.1887,22.200001,22.149727,9370400.0
2019-01-14,22.2388,22.4613,22.0,22.375,22.324331,8532000.0
2019-01-15,22.5,22.612499,21.9475,22.1213,22.071205,8225600.0
2019-01-16,22.137501,22.25,21.647499,21.875,21.825461999999998,8863200.0
2019-01-17,21.7563,22.0275,21.5938,21.809998999999998,21.760609,7181600.0
2019-01-18,21.9375,22.1063,21.6875,21.775,21.725689000000003,5624000.0
2019-01-21,21.7488,21.7775,20.875,20.875,20.827728,10003200.0
2019-01-22,20.3937,20.8687,20.0812,20.2563,20.210428,16261600.0
2019-01-23,20.4988,21.27,20.3512,21.200001,21.151993,9562400.0
2019-01-24,21.315001000000002,21.4125,20.6437,20.934998999999998,20.88759,9061600.0
2019-01-28,20.7488,21.0625,20.5012,20.922501,20.875120000000003,6263200.0
2019-01-29,21.012501,22.4625,21.0012,22.262501,22.212086,12793600.0
2019-01-30,22.5,22.75,21.6413,22.0187,21.968838,10992800.0
2019-01-31,22.1875,22.622498999999998,21.709999,22.383801000000002,22.333111,7646400.0
2019-02-01,22.375,22.559998999999998,22.014999,22.35,22.299387,5166400.0
2019-02-04,22.1875,22.2687,21.8137,22.133801000000002,22.083676999999998,4340800.0
2019-02-05,22.1112,22.17,21.85,21.9375,21.887821,3613600.0
2019-02-06,21.809998999999998,21.8125,21.0625,21.2125,21.164463,6461600.0
2019-02-07,21.3263,21.924999,20.85,20.85,20.802784,9416000.0
2019-02-08,21.0,21.25,20.57,21.25,21.201878,5506400.0
2019-02-11,21.245001000000002,21.247498999999998,20.5637,20.6663,20.619498999999998,5428800.0
2019-02-12,20.8762,21.0238,20.4125,20.6,20.55335,8156800.0
2019-02-13,20.696301000000002,20.75,19.7763,20.1625,20.11684,9616000.0
2019-02-14,20.3125,21.3738,20.002501000000002,21.3363,21.287982999999997,8436000.0
2019-02-15,21.1875,21.2488,20.4963,20.4963,20.449884,7860000.0
2019-02-18,20.485001,21.067498999999998,20.3125,21.067498999999998,21.019791,3745600.0
2019-02-19,21.0,21.497498999999998,20.9513,21.2075,21.159475,7568000.0
2019-02-20,21.485001,21.485001,20.2812,20.3125,20.2665,12089600.0
2019-02-21,20.5163,20.5625,19.946301000000002,20.137501,20.091898,10159200.0
2019-02-22,21.2512,22.645,20.741198999999998,22.237499,22.187141,30509600.0
2019-02-25,22.344998999999998,22.487499,21.7125,21.7125,21.66333,10340000.0
2019-02-26,21.6262,22.4837,21.4,22.3125,22.261972,8444800.0
2019-02-27,22.3125,22.4475,21.8512,22.0,21.95018,6376000.0
2019-02-28,21.987499,22.122498999999998,21.258801000000002,21.682501000000002,21.6334,8011200.0
2019-03-01,21.8612,22.375,21.6513,21.9025,21.852901,7103200.0
2019-03-06,,,,,,
2019-03-07,21.4363,22.2488,21.3125,22.1437,22.093554,9920800.0
2019-03-08,21.987499,22.922501,21.725,22.602501,22.551315,13552000.0
2019-03-11,22.5938,22.98,22.2812,22.821301000000002,22.769621,9769600.0
2019-03-12,22.625,22.6887,22.2425,22.3563,22.305674,5656000.0
2019-03-13,22.2812,22.446301000000002,21.950001,22.16,22.109818,5742400.0
2019-03-14,22.1187,22.321301000000002,21.946301000000002,22.0625,22.012539,3409600.0
2019-03-15,22.25,22.3125,21.9387,22.1488,22.098642,6342400.0
2019-03-18,22.125,22.682501000000002,22.0187,22.5525,22.501429,10811200.0
2019-03-19,22.4688,22.8487,22.4137,22.5875,22.536348,5413600.0
2019-03-20,22.5888,22.7875,22.395,22.7038,22.652386,5804000.0
2019-03-21,22.5688,22.7812,22.375,22.7812,22.72961,7874400.0
2019-03-22,22.487499,22.7362,21.59,21.6625,21.613445000000002,11079200.0
2019-03-25,21.7188,22.049999,21.321301000000002,21.6388,21.589798000000002,8272800.0
2019-03-26,21.862499,22.0737,21.7225,22.0737,22.023712,6122400.0
2019-03-27,21.875,21.875,20.795,21.0,20.952444,12878400.0
2019-03-28,21.1262,21.555,20.6462,21.3487,21.300354000000002,11202400.0
2019-03-29,21.525,21.7437,21.375,21.6063,21.557371,5740000.0
2019-04-01,21.7463,21.842501000000002,21.4112,21.4112,21.362713,4056800.0
2019-04-02,21.5588,21.5588,20.6875,20.7687,20.721667999999998,8901600.0
2019-04-03,20.9937,21.594998999999998,20.8512,21.133801000000002,21.085941000000002,10140800.0
2019-04-04,21.25,21.4188,20.9412,21.125,21.077162,5695200.0
2019-04-05,21.139999,21.34,20.945,21.2488,21.200682,5898400.0
2019-04-08,21.2125,21.275,20.6388,20.842501000000002,20.795301000000002,19280000.0
2019-04-09,20.7687,21.045,20.4375,20.7887,20.741623,8477600.0
2019-04-10,20.875,21.0875,20.690001000000002,21.0875,21.039745,5091200.0
2019-04-11,21.049999,21.049999,20.5,20.75,20.703011,5207200.0
2019-04-12,20.51,21.0825,20.2875,20.6038,20.55714,6667200.0
2019-04-15,20.75,20.860001,20.299999,20.4375,20.391218,10495200.0
2019-04-16,20.4,20.7162,20.200001,20.3375,20.3375,5982400.0
2019-04-17,20.445,20.592501000000002,19.815001000000002,19.977501,19.977501,9846400.0
2019-04-18,20.0975,21.4088,20.0438,21.35,21.35,11004000.0
2019-04-22,21.2388,21.2675,20.7638,20.9,20.9,3480000.0
2019-04-23,21.0012,21.43,21.0,21.375,21.375,4169600.0
2019-04-24,21.3337,21.622498999999998,21.0625,21.557501000000002,21.557501000000002,6500000.0
2019-04-25,21.377501000000002,21.875,21.2575,21.875,21.875,6195200.0
2019-04-26,22.0,22.4937,21.9175,22.3687,22.3687,9252800.0
2019-04-29,22.375,22.5,22.16,22.3137,22.3137,4112000.0
2019-04-30,22.950001,23.907498999999998,22.875,23.907498999999998,23.907498999999998,17158400.0
2019-05-02,23.5963,24.0688,23.487499,23.842501000000002,23.842501000000002,10839200.0
2019-05-03,23.875,24.875,23.875,24.5312,24.5312,9619200.0
2019-05-06,24.375,25.120001000000002,24.2537,25.0263,25.0263,12308000.0
2019-05-07,25.1875,25.2887,23.91,24.0187,24.0187,13714400.0
2019-05-08,24.012501,24.4375,24.012501,24.1875,24.1875,7266400.0
2019-05-09,24.1075,24.1075,23.237499,23.237499,23.237499,8647200.0
2019-05-10,23.3787,23.59,22.6325,23.3125,23.3125,7074400.0
2019-05-13,23.0625,23.1562,22.5,22.502501000000002,22.502501000000002,7481600.0
2019-05-14,22.8762,23.125,22.25,22.2812,22.2812,8171200.0
2019-05-15,22.030001000000002,22.030001000000002,21.4625,21.625,21.625,11907200.0
2019-05-16,21.525,21.602501,20.8463,20.875,20.875,14228000.0
2019-05-17,20.633801000000002,21.602501,20.633801000000002,21.102501,21.102501,8486400.0
2019-05-20,21.247498999999998,21.9,21.1513,21.625,21.625,8236000.0
2019-05-21,21.985001,22.7113,21.9513,22.4263,22.4263,9324800.0
2019-05-22,22.625,23.0238,22.25,22.5312,22.5312,8910400.0
2019-05-23,22.2125,22.7862,21.889999,22.5562,22.5562,8334400.0
2019-05-24,22.8113,22.940001000000002,22.0,22.1063,22.1063,6477600.0
2019-05-27,22.625,22.75,22.25,22.25,22.25,3925600.0
2019-05-28,22.5375,23.625,22.5163,23.625,23.625,16532000.0
2019-05-29,23.7875,24.424999,23.3888,23.6588,23.6588,11330400.0
2019-05-30,23.75,24.299999,23.702499,24.1112,24.1112,7245600.0
2019-05-31,24.0,24.5,23.9562,24.5,24.5,6778400.0
2019-06-03,24.625,24.85,24.1887,24.342501000000002,24.342501000000002,6673600.0
2019-06-04,24.75,24.8738,24.0,24.315001000000002,24.315001000000002,6555200.0
2019-06-05,24.5,24.65,23.5037,23.8988,23.8988,10168800.0
2019-06-06,24.25,24.25,23.512501,23.7512,23.7512,5515200.0
2019-06-07,23.8463,24.8062,23.8162,24.8062,24.8062,7880000.0
2019-06-10,24.8162,25.549999,24.5625,25.3125,25.3125,9398400.0
2019-06-11,25.5,26.1875,25.4562,25.8988,25.8988,9048800.0
